record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,D,,ZLIC,ZL,,IVO,ZL,10850,IT N,,,IVO,N38195708,E106240712,,03714,0,,400,WGE,HEDONG,S,Simulation application continuation,UN,W0040,03714,73975,2106,SEEUD ZLICZL IVO   ZL110850 IT N                   IVO N38195708E106240712     037140  400WGEHEDONG                        ,SEEUD ZLICZL IVO   ZL2S    UN                                             W004003714                                       ,3,"frequency_protection,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,D,,ZLLL,ZL,,IJF,ZL,11030,IT N,,,IJF,N36321213,E103384448,,06411,0,,474,WGE,ZHONGCHUAN,S,Simulation application continuation,UN,W0029,06411,73977,2503,SEEUD ZLLLZL IJF   ZL111030 IT N                   IJF N36321213E103384448     064110  474WGEZHONGCHUAN                    ,SEEUD ZLLLZL IJF   ZL2S    UN                                             W002906411                                       ,3,"frequency_protection,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,D,,ZMUB,ZM,,IDA,ZM,11030,IT N,,,IDA,N47510060,E106451560,,04232,0,,239,WGE,BUYANT-UKHAA,S,Simulation application continuation,UN,W0055,04232,73997,2203,SEEUD ZMUBZM IDA   ZM111030 IT N                   IDA N47510060E106451560     042320  239WGEBUYANT-UKHAA                  ,SEEUD ZMUBZM IDA   ZM2S    UN                                             W005504232                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZPJH,ZP,,ILK,ZP,11030,IT N,,,ILK,N21580243,E100455859,,01860,0,,344,WGE,GASA,S,Simulation application continuation,UN,W0012,01860,74001,1708,SEEUD ZPJHZP ILK   ZP111030 IT N                   ILK N21580243E100455859     018600  344WGEGASA                          ,SEEUD ZPJHZP ILK   ZP2S    UN                                             W001201860                                       ,3,"frequency_protection,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,D,,ZSAM,ZS,,IWF,ZS,11030,IT N,,,IWF,N24321712,E118070202,,00082,0,,119,WGE,GAOQI,S,Simulation application continuation,UN,W0044,00082,74019,2506,SEEUD ZSAMZS IWF   ZS111030 IT N                   IWF N24321712E118070202     000820  119WGEGAOQI                         ,SEEUD ZSAMZS IWF   ZS2S    UN                                             W004400082                                       ,6,"dme_elevation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,ZSFZ,ZS,,ICL,ZS,11070,IT N,,,ICL,N25552413,E119391912,,00046,0,,100,WGE,CHANGLE,S,Simulation application continuation,UN,W0050,00046,74029,1607,SEEUD ZSFZZS ICL   ZS111070 IT N                   ICL N25552413E119391912     000460  100WGECHANGLE                       ,SEEUD ZSFZZS ICL   ZS2S    UN                                             W005000046                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSFZ,ZS,,INN,ZS,11030,IT N,,,INN,N25564971,E119400816,,00062,0,,119,WGE,CHANGLE,S,Simulation application continuation,UN,W0050,00062,74031,2005,SEEUD ZSFZZS INN   ZS111030 IT N                   INN N25564971E119400816     000620  119WGECHANGLE                       ,SEEUD ZSFZZS INN   ZS2S    UN                                             W005000062                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSLY,ZS,,ILY,ZS,10970,IT N,,,ILY,N35035124,E118244743,,00243,0,,250,WGE,QIYANG,S,Simulation application continuation,UN,W0069,00243,74047,2311,SEEUD ZSLYZS ILY   ZS110970 IT N                   ILY N35035124E118244743     002430  250WGEQIYANG                        ,SEEUD ZSLYZS ILY   ZS2S    UN                                             W006900243                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSLY,ZS,,IXI,ZS,11070,IT N,,,IXI,N35022759,E118244767,,00226,0,,161,WGE,QIYANG,S,Simulation application continuation,UN,W0069,00226,74049,2311,SEEUD ZSLYZS IXI   ZS111070 IT N                   IXI N35022759E118244767     002260  161WGEQIYANG                        ,SEEUD ZSLYZS IXI   ZS2S    UN                                             W006900226                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSNB,ZS,,IBK,ZS,10890,IT N,,,IBK,N29500024,E121270945,,00030,0,,080,WGE,LISHE,S,Simulation application continuation,UN,W0062,00030,74051,2111,SEEUD ZSNBZS IBK   ZS110890 IT N                   IBK N29500024E121270945     000300  080WGELISHE                         ,SEEUD ZSNBZS IBK   ZS2S    UN                                             W006200030                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
