record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,URWW,UR,V,GND,0129000,,V,0,S,N,A,,N48464900,E044200800,E0100,00476,Y,,,,,,,,,,00,,,,,VOLGOGRAD,,,,,,,,,SEEUP URWWURVGND0129000 V0 S NA N48464900E044200800E010000476Y                          00        VOLGOGRAD                ,,,,
S,EEU,P,,UTFA,UT,V,TWR,0128000,,V,1,,N,A,,N40433700,E072173300,E0050,01558,N,,,,,,,,,,00,,,,,ANDIZHAN,,,,,,,,,SEEUP UTFAUTVTWR0128000 V1   NA N40433700E072173300E005001558N                          00        ANDIZHAN                 ,SEEUP UTFAUTVTWR0128000 V2 N  DURING HOURS OF SCHEDULED OPERATIONS                                                         ,,,
S,EEU,P,,UTFF,UT,V,APP,0125600,,V,0,,R,A,,N40590555,E071332462,E0050,01705,Y,,,,,,,,,,00,,,,,NAMANGAN,,,,,,,,,SEEUP UTFFUTVAPP0125600 V0   RA N40590555E071332462E005001705Y                          00        NAMANGAN                 ,,,,
S,EEU,P,,UTFF,UT,V,TWR,0129500,,V,1,,N,A,,N40213017,E071444081,E0050,02052,N,,,,,,,,,,00,,,,,FERGANA,,,,,,,,,SEEUP UTFFUTVTWR0129500 V1   NA N40213017E071444081E005002052N                          00        FERGANA                  ,SEEUP UTFFUTVTWR0129500 V2 N  DURING HOURS OF SCHEDULED OPERATIONS                                                         ,,,
S,EEU,P,,UTFN,UT,V,APP,0125600,,V,0,,R,A,,N40590555,E071332462,E0050,01705,Y,,,,,,,,,,00,,,,,NAMANGAN,,,,,,,,,SEEUP UTFNUTVAPP0125600 V0   RA N40590555E071332462E005001705Y                          00        NAMANGAN                 ,,,,
S,EEU,P,,UTFN,UT,V,OPS,0132300,,V,0,L,N,A,,N40590555,E071332462,E0050,01705,Y,,,,,,,,,,00,,,,,NAMANGAN TRANSIT,,,,,,,,,SEEUP UTFNUTVOPS0132300 V0  LNA N40590555E071332462E005001705Y                          00        NAMANGAN TRANSIT         ,,,,
S,EEU,P,,UTFN,UT,V,TWR,0120700,,V,0,,N,A,,N40590555,E071332462,E0050,01705,Y,,,,,,,,,,00,,,,,NAMANGAN,,,,,,,,,SEEUP UTFNUTVTWR0120700 V0   NA N40590555E071332462E005001705Y                          00        NAMANGAN                 ,,,,
S,EEU,P,,UTNN,UT,V,APP,0129300,,V,0,,R,A,,N42292116,E059372188,E0070,00249,Y,,,,,,,,,,00,,,,,NUKUS,,,,,,,,,SEEUP UTNNUTVAPP0129300 V0   RA N42292116E059372188E007000249Y                          00        NUKUS                    ,,,,
S,EEU,P,,UTNN,UT,V,OPS,0131700,,V,0,L,N,A,,N42292116,E059372188,E0070,00249,Y,,,,,,,,,,00,,,,,NUKUS TRANSIT,,,,,,,,,SEEUP UTNNUTVOPS0131700 V0  LNA N42292116E059372188E007000249Y                          00        NUKUS TRANSIT            ,,,,
S,EEU,P,,UTNN,UT,V,TWR,0121300,,V,0,D,N,A,,N42292116,E059372188,E0070,00249,Y,,,,,,,,,,00,,,,,NUKUS,,,,,,,,,SEEUP UTNNUTVTWR0121300 V0  DNA N42292116E059372188E007000249Y                          00        NUKUS                    ,,,,
