record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123,changed_field_count,changed_fields
S,SAM,P,,SDCO,SB,V,TWR,0118800,,V,1,,N,A,,S23284000,W047292400,W0220,02083,N,,,,,,,,,,00,,,,,SOROCABA,SSAMP SDCOSBVTWR0118800 V1   NA S23284000W047292400W022002083N                          00        SOROCABA                 ,,,SSAMP SDCOSBVTWR0118800 V2 T  010900020017090002000709000200                                                               ,,,,,,,,,,,,,3,"magnetic_variation,primary_1_123,cont#2_1_123"
S,SAM,P,,SDGC,SB,V,ACC,0125325,,V,0,R,N,A,,S22204200,W049031400,W0210,02025,Y,,,,,,,,,,00,SBBU,SB,P,A,BRASILIA,SSAMP SDGCSBVACC0125325 V0  RNA S22204200W049031400W021002025Y                          00SBBUSBPABRASILIA                 ,,,,,,,,,,,,,,,,2,"latitude,primary_1_123"
S,SAM,P,,SDGC,SB,V,ACC,0134500,,V,0,R,N,A,,S22204200,W049031400,W0210,02025,Y,,,,,,,,,,00,SBBU,SB,P,A,BRASILIA,SSAMP SDGCSBVACC0134500 V0  RNA S22204200W049031400W021002025Y                          00SBBUSBPABRASILIA                 ,,,,,,,,,,,,,,,,2,"latitude,primary_1_123"
S,SAM,P,,SDGC,SB,V,APP,0121300,,V,1,,N,A,,S22204200,W049031400,W0210,02025,N,,,,,,,,,,00,,,,,BAURU,SSAMP SDGCSBVAPP0121300 V1   NA S22204200W049031400W021002025N                          00        BAURU                    ,,,SSAMP SDGCSBVAPP0121300 V2 T  010900020017090002000709000200                                                               ,,,,,,,,,,,,,3,"latitude,primary_1_123,cont#2_1_123"
S,SAM,P,,SDJO,SB,V,APP,0120800,,V,1,,N,A,,S19455300,W047575800,W0220,02654,N,,,,,,,,,,00,,,,,UBERABA,SSAMP SDJOSBVAPP0120800 V1   NA S19455300W047575800W022002654N                          00        UBERABA                  ,,,SSAMP SDJOSBVAPP0120800 V2 T  1710002159                                                                                   ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SDPA,SB,V,MUL,0126025,,V,1,L,N,A,,S22553900,W044044800,W0230,00020,N,,,,,,,,,,00,,,,,MANGARATIBA,SSAMP SDPASBVMUL0126025 V1  LNA S22553900W044044800W023000020N                          00        MANGARATIBA              ,,,SSAMP SDPASBVMUL0126025 V2 T  17000R000S                                                                                   ,,,,,,,,,,,,,2,"service_indicator,primary_1_123"
S,SAM,P,,SDTK,SB,V,MUL,0126025,,V,1,L,N,A,,S23132600,W044432400,W0230,00010,N,,,,,,,,,,00,,,,,PARATY,SSAMP SDTKSBVMUL0126025 V1  LNA S23132600W044432400W023000010N                          00        PARATY                   ,,,SSAMP SDTKSBVMUL0126025 V2 T  17000R000S                                                                                   ,,,,,,,,,,,,,5,"cont_no_column_26,service_indicator,h24_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SDUB,SB,V,MUL,0124525,,V,1,L,N,A,,S23262900,W045043400,W0220,00010,N,,,,,,,,,,00,,,,,UBATUBA,SSAMP SDUBSBVMUL0124525 V1  LNA S23262900W045043400W022000010N                          00        UBATUBA                  ,,,SSAMP SDUBSBVMUL0124525 V2 T  1709302130                                                                                   ,,,,,,,,,,,,,5,"cont_no_column_26,service_indicator,h24_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SELT,SE,V,APP,0119700,,V,0,,R,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SELTSEVAPP0119700 V0   RA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SELT,SE,V,APP,0121200,,V,0,S,R,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SELTSEVAPP0121200 V0 S RA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,APP,0119700,,V,0,S,R,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SEQMSEVAPP0119700 V0 S RA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,3,"service_indicator,magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,APP,0121200,,V,0,,R,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SEQMSEVAPP0121200 V0   RA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,3,"service_indicator,magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,ATI,0118900,T,V,0,,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,,SSAMP SEQMSEVATI0118900TV0   NA S00072700W078211600W005007910Y                          00                                 ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,GND,0121725,,V,0,S,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SEQMSEVGND0121725 V0 S NA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,GND,0121900,,V,0,,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SEQMSEVGND0121900 V0   NA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,TWR,0118350,,V,0,,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SEQMSEVTWR0118350 V0   NA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SEQM,SE,V,TWR,0118650,,V,0,S,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SEQMSEVTWR0118650 V0 S NA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SETR,SE,V,ACC,0128300,,V,0,R,R,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,SEQM,SE,P,A,GUAYAQUIL,SSAMP SETRSEVACC0128300 V0  RRA S00072700W078211600W005007910Y                          00SEQMSEPAGUAYAQUIL                ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SETR,SE,V,APP,0119700,,V,0,,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SETRSEVAPP0119700 V0   NA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SETR,SE,V,APP,0121200,,V,0,S,N,A,,S00072700,W078211600,W0050,07910,Y,,,,,,,,,,00,,,,,QUITO,SSAMP SETRSEVAPP0121200 V0 S NA S00072700W078211600W005007910Y                          00        QUITO                    ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SETU,SE,V,APP,0126700,,V,1,,N,A,,N00514136,W077400303,W0050,09765,N,,,,,,,,,,00,,,,,ANDES,SSAMP SETUSEVAPP0126700 V1   NA N00514136W077400303W005009765N                          00        ANDES                    ,,,SSAMP SETUSEVAPP0126700 V2 T  17000R000S                                                                                   ,,,,,,,,,,,,,2,"facility_elevation,primary_1_123"
S,SAM,P,,SFAL,SF,V,INF,0118100,,V,1,,N,A,,S51410924,W057463866,E0020,00074,N,,,,,,,,,,00,,,,,STANLEY,SSAMP SFALSFVINF0118100 V1   NA S51410924W057463866E002000074N                          00        STANLEY                  ,,,SSAMP SFALSFVINF0118100 V2 N  NO SPECIFIC WORKING HOURS                                                                    ,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SGME,SG,V,INF,0118800,,V,0,S,N,A,,S22015005,W060372151,W0140,00554,Y,,,,,,,,,,00,,,,,MARISCAL ESTIGARRIBIA,SSAMP SGMESGVINF0118800 V0S  NA S22015005W060372151W014000554Y                          00        MARISCAL ESTIGARRIBIA    ,,,,,,,,,,,,,,,,2,"service_indicator,primary_1_123"
S,SAM,P,,SKAP,SK,V,APP,0119300,,V,1,,N,A,,N04100860,W073364606,W0090,01381,N,,,,,,,,,,00,,,,,VILLAVICENCIO,SSAMP SKAPSKVAPP0119300 V1   NA N04100860W073364606W009001381N                          00        VILLAVICENCIO            ,,,SSAMP SKAPSKVAPP0119300 V2 T  131100230045110001005711002300                                                               ,,,,,,,,,,,,,4,"latitude,longitude,magnetic_variation,primary_1_123"
S,SAM,P,,SKAP,SK,V,GND,0121600,,V,1,,N,A,,N04043384,W073334584,W0090,01235,N,,,,,,,,,,00,,,,,GOMEZ NINO,SSAMP SKAPSKVGND0121600 V1   NA N04043384W073334584W009001235N                          00        GOMEZ NINO               ,,,SSAMP SKAPSKVGND0121600 V2 T  1712002300                                                                                   ,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SKAP,SK,V,TWR,0118000,,V,0,,N,A,,N04043384,W073334584,W0090,01235,Y,,,,,,,,,,00,,,,,GOMEZ NINO,SSAMP SKAPSKVTWR0118000 V0   NA N04043384W073334584W009001235Y                          00        GOMEZ NINO               ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
S,SAM,P,,SKAR,SK,V,APP,0120700,,V,1,,R,A,,N04484524,W075442386,W0070,04418,N,,,,,,,,,,00,,,,,PEREIRA,SSAMP SKARSKVAPP0120700 V1   RA N04484524W075442386W007004418N                          00        PEREIRA                  ,,,SSAMP SKARSKVAPP0120700 V2 T  011030043017103004300710300430                                                               ,,,,,,,,,,,,,1,cont#2_1_123
S,SAM,P,,SKBU,SK,V,ACC,0126700,,V,1,R,R,A,,N03323520,W076225409,W0060,03162,N,,,,,,,,,,00,SKCL,SK,P,A,CALI CONTROL,SSAMP SKBUSKVACC0126700 V1  RRA N03323520W076225409W006003162N                          00SKCLSKPACALI CONTROL             ,,,SSAMP SKBUSKVACC0126700 V2 T  1711002300                                                                                   ,,,,,,,,,,,,,4,"cont_no_column_26,h24_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SKBU,SK,V,APP,0119100,,V,1,,R,A,,N03323520,W076225409,W0060,03162,N,,,,,,,,,,00,,,,,CALI,SSAMP SKBUSKVAPP0119100 V1   RA N03323520W076225409W006003162N                          00        CALI                     ,,,SSAMP SKBUSKVAPP0119100 V2 T  1711002300                                                                                   ,,,,,,,,,,,,,4,"cont_no_column_26,h24_indicator,primary_1_123,cont#2_1_123"
S,SAM,P,,SKBU,SK,V,TWR,0118950,,V,1,S,N,A,,N03491046,W076592366,W0050,00048,N,,,,,,,,,,00,,,,,GERARDO TOBAR LOPEZ,SSAMP SKBUSKVTWR0118950 V1 S NA N03491046W076592366W005000048N                          00        GERARDO TOBAR LOPEZ      ,,,SSAMP SKBUSKVTWR0118950 V2 T  1711002300                                                                                   ,,,,,,,,,,,,,3,"communications_frequency,primary_1_123,cont#2_1_123"
