record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123
S,USA,P,,KLWB,K6,V,AWO,0121400,T,V,0,,N,A,,N37512990,W080235814,W0080,02302,Y,,,,,,,,,,00,,,,,,SUSAP KLWBK6VAWO0121400TV0   NA N37512990W080235814W008002302Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KMBY,K3,V,ACC,0125250,,V,0,G,R,A,,N39491107,W093284177,E0000,00840,Y,,,,,,,,,,00,,,,,KANSAS CITY,SUSAP KMBYK3VACC0125250 V0  GRA N39491107W093284177E000000840Y                          00        KANSAS CITY              ,,,,,,,,,,,,,,,
S,USA,P,,KMBY,K3,V,ASO,0128450,T,V,0,S,N,A,,N38490385,W092130405,E0000,00889,Y,,,,,,,,,,00,,,,,,SUSAP KMBYK3VASO0128450TV0 S NA N38490385W092130405E000000889Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KMEB,K7,V,GCO,0135075,,V,0,,N,A,,N34473182,W079215723,W0080,00216,Y,,,,,,,,,,00,,,,,FAYETTEVILLE CD,SUSAP KMEBK7VGCO0135075 V0   NA N34473182W079215723W008000216Y                          00        FAYETTEVILLE CD          ,,,,,,,,,,,,,,,
S,USA,P,,KMGM,K7,V,FSS,0112100,T,V,0,R,N,A,,N32132021,W086191102,E0030,00271,Y,,,,,,,,,,00,MGM,K7,D,,ANNISTON,SUSAP KMGMK7VFSS0112100TV0  RNA N32132021W086191102E003000271Y                          00MGM K7D ANNISTON                 ,,,,,,,,,,,,,,,
S,USA,P,,KMGM,K7,V,FSS,0122100,G,V,0,R,N,A,,N32132021,W086191102,E0030,00271,Y,,,,,,,,,,00,MGM,K7,D,,ANNISTON,SUSAP KMGMK7VFSS0122100GV0  RNA N32132021W086191102E003000271Y                          00MGM K7D ANNISTON                 ,,,,,,,,,,,,,,,
S,USA,P,,KMKN,K4,V,ACC,0127150,,V,0,G,R,A,,N32043431,W098194225,E0040,01493,Y,,,,,,,,,,00,,,,,FT WORTH,SUSAP KMKNK4VACC0127150 V0  GRA N32043431W098194225E004001493Y                          00        FT WORTH                 ,,,,,,,,,,,,,,,
S,USA,P,,KMKS,K7,V,ASO,0124750,T,V,0,S,N,A,,N32535513,W080022590,W0070,00046,Y,,,,,,,,,,00,,,,,,SUSAP KMKSK7VASO0124750TV0 S NA N32535513W080022590W007000046Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KMLB,K7,V,APP,0132650,,V,0,,R,A,,N28254580,W081183240,W0060,00096,Y,,,,,,,,,,00,,,,,ORLANDO,SUSAP KMLBK7VAPP0132650 V0   RA N28254580W081183240W006000096Y                          00        ORLANDO                  ,,,,,,,,,,,,,,,
S,USA,P,,KMLB,K7,V,CLD,0132650,,V,1,,N,A,,N28254580,W081183240,W0060,00096,N,,,,,,,,,,00,,,,,ORLANDO,SUSAP KMLBK7VCLD0132650 V1   NA N28254580W081183240W006000096N                          00        ORLANDO                  ,,,SUSAP KMLBK7VCLD0132650 V2 T  1705001100                                                                                   ,,,,,,,,,,,,
S,USA,P,,KMLB,K7,V,DEP,0132650,,V,0,,R,A,,N28254580,W081183240,W0060,00096,Y,,,,,,,,,,00,,,,,ORLANDO,SUSAP KMLBK7VDEP0132650 V0   RA N28254580W081183240W006000096Y                          00        ORLANDO                  ,,,,,,,,,,,,,,,
S,USA,P,,KMLS,K1,V,AWO,0122800,T,V,0,S,N,A,,N46161614,W106372605,E0090,02729,Y,,,,,,,,,,00,,,,,,SUSAP KMLSK1VAWO0122800TV0 S NA N46161614W106372605E009002729Y                          00                                 ,,,,,,,,,,,,,,,
S,USA,P,,KNID,K2,V,CLD,0025425,,U,1,M,N,F,,N35410827,W117413038,E0140,02288,N,,,,,,,,,,00,,,,,CHINA LAKE,SUSAP KNIDK2VCLD0025425 U1  MNF N35410827W117413038E014002288N                          00        CHINA LAKE               ,,,"SUSAP KNIDK2VCLD0025425 U2 N  MON-FRI:1530-0630Z. CLOSED ALTERNATE FRIDAYS. OPEN 1530-2030Z, AND 233                       ",,,SUSAP KNIDK2VCLD0025425 U3 N  0-0100Z 1ST WORKING/NON-HOLIDAY FRIDAY OF MONTH. SAT-SUN: 2300-0100Z.                        ,,,,,,,,,
