record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,EUR,D,,,,,BRY,LF,11410,DH,,,BRY,N48242520,E003174120,,00289,2,,220,WGE,BRAY SUR SEINE,SEURD        BRY   LF111410 DH                     BRY N48242520E003174120     002892  220WGEBRAY SUR SEINE                ,S,Simulation application continuation,SEURD        BRY   LF2S    UN                                             E0022                                            ,1,cont#2_1_123
S,EUR,D,,,,,BSM,LI,11565,VDT,N45262140,E010191030,,N45262170,E010191060,E0030,00381,0,,399,WGE,BRESCIA,SEURD        BSM   LI111565VDT  N45262140E010191030    N45262170E010191060E0030003810  399WGEBRESCIA                       ,S,Simulation application continuation,SEURD        BSM   LI2S    UU                                             E003800381                                       ,1,cont#2_1_123
S,EUR,D,,,,,BSN,LF,11485,DH,,,BSN,N49111790,E003032350,,00632,2,,242,WGE,BOURSONNE,SEURD        BSN   LF111485 DH                     BSN N49111790E003032350     006322  242WGEBOURSONNE                     ,S,Simulation application continuation,SEURD        BSN   LF2S    UN                                             E0021                                            ,1,cont#2_1_123
S,EUR,D,,,,,BSO,EG,11000,TL,,,BSO,N51371680,W001055340,E0010,00243,1,,453,WGE,BENSON,SEURD        BSO   EG111000 TL                     BSO N51371680W001055340E0010002431  453WGEBENSON                        ,S,Simulation application continuation,SEURD        BSO   EG2S    UN                                             E0007                                            ,4,"station_declination,dme_elevation,primary_1_123,cont#2_1_123"
S,EUR,D,,,,,BST,LF,11470,TL,,,BST,N48170430,W004270760,W0010,00328,1,,257,WGE,LANVEOC POULMIC,SEURD        BST   LF111470 TL                     BST N48170430W004270760W0010003281  257WGELANVEOC POULMIC               ,S,Simulation application continuation,SEURD        BST   LF2S    UN                                             W0001                                            ,1,cont#2_1_123
S,EUR,D,,,,,BTA,LF,11415,VDHW,N42342490,E009282940,,N42342490,E009282940,E0030,00036,2,,484,WGE,BASTIA PORETTA,SEURD        BTA   LF111415VDHW N42342490E009282940    N42342490E009282940E0030000362  484WGEBASTIA PORETTA                ,S,Simulation application continuation,SEURD        BTA   LF2S    UN                                             E003500036                                       ,1,cont#2_1_123
S,EUR,D,,,,,BTZ,LF,11415,VDHW,N43275990,W001303700,,N43275990,W001303700,E0000,00276,2,,484,WGE,BIARRITZ PAYS BASQUE,SEURD        BTZ   LF111415VDHW N43275990W001303700    N43275990W001303700E0000002762  484WGEBIARRITZ PAYS BASQUE          ,S,Simulation application continuation,SEURD        BTZ   LF2S    UN                                             E001000276                                       ,1,cont#2_1_123
S,EUR,D,,,,,BUB,EB,11460,VDUA,N50540840,E004321710,,N50540840,E004321710,E0010,00200,2,,415,WGE,BRUSSELS,SEURD        BUB   EB111460VDUA N50540840E004321710    N50540840E004321710E0010002002  415WGEBRUSSELS                      ,S,Simulation application continuation,SEURD        BUB   EB2S    UN                                             E0025                                            ,1,cont#2_1_123
S,EUR,D,,,,,BUE,ET,11710,TH,,,BUE,N50104343,E007041012,E0030,01618,2,,223,WGE,BUECHEL,SEURD        BUE   ET111710 TH                     BUE N50104343E007041012E0030016182  223WGEBUECHEL                       ,S,Simulation application continuation,SEURD        BUE   ET2S    UN                                             E0032                                            ,1,cont#2_1_123
S,EUR,D,,,,,BUI,LY,11520,VDHW,N42375890,E020294500,,N42375890,E020294500,E0020,01575,2,,341,WGE,BUDISAVCI,SEURD        BUI   LY111520VDHW N42375890E020294500    N42375890E020294500E0020015752  341WGEBUDISAVCI                     ,S,Simulation application continuation,SEURD        BUI   LY2S    UN                                             E005301575                                       ,1,cont#2_1_123
S,EUR,D,,,,,BUN,EB,11060,VDHA,N51070700,E004503200,,N51070700,E004503200,E0010,00100,2,,259,WGE,BRUNO,SEURD        BUN   EB111060VDHA N51070700E004503200    N51070700E004503200E0010001002  259WGEBRUNO                         ,S,Simulation application continuation,SEURD        BUN   EB2S    UN                                             E0026                                            ,1,cont#2_1_123
