record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,P,G,BIHU,RW20,05259,2020,N65573431,W017252061,+0080,00044,0000,40,098,,,SEURP BIHUBIGRW20    1052592020 N65573431W017252061+0080          00044000040098      0000                                 ,S,Simulation application continuation,SEURP BIHUBIGRW20    2S                            19160Y        L00044                                                    
S,EUR,P,G,BIIS,RW08,04593,0760,N66031851,W023085577,+0000,00008,0000,40,139,,,SEURP BIISBIGRW08    1045930760 N66031851W023085577+0000    +0066800008000040139      0000                                 ,S,Simulation application continuation,SEURP BIISBIGRW08    2S                            06186Y        L00008                                                    
S,EUR,P,G,BIIS,RW26,04593,2560,N66033981,W023071770,+0000,00008,0000,40,139,,,SEURP BIISBIGRW26    1045932560 N66033981W023071770+0000    +0066800008000040139      0000                                 ,S,Simulation application continuation,SEURP BIISBIGRW26    2S                            24188Y        L00008                                                    
S,EUR,P,G,EDAZ,RW12,02297,1210,N52123323,E013091825,,00152,0000,40,059,,,SEURP EDAZEDGRW12    1022971210 N52123323E013091825               00152000040059      0000                                 ,S,Simulation application continuation,SEURP EDAZEDGRW12    2S                            12600N        A00152                                                    
S,EUR,P,G,EDAZ,RW30,02297,3010,N52121995,E013094796,,00152,0000,40,059,,,SEURP EDAZEDGRW30    1022973010 N52121995E013094796               00152000040059      0000                                 ,S,Simulation application continuation,SEURP EDAZEDGRW30    2S                            30600N        A00152                                                    
S,EUR,P,G,EDDR,RW09,06529,0860,N49125107,E007054960,,01024,0164,50,148,,,SEURP EDDREDGRW09    1065290860 N49125107E007054960         +0360001024016450148      0000                                 ,S,Simulation application continuation,SEURP EDDREDGRW09    2S                            08800N        T01024                                                    
S,EUR,P,G,EDDR,RW27,06529,2660,N49125375,E007072047,,01058,0295,56,148,DSB,,SEURP EDDREDGRW27    1065292660 N49125375E007072047               01058029556148 DSB  0000                                 ,S,Simulation application continuation,SEURP EDDREDGRW27    2S                            26800N        T01058                                                    
S,EUR,P,G,EDEW,RW06,02690,0550,N49344868,E009235402,,01309,0295,40,066,,,SEURP EDEWEDGRW06    1026900550 N49344868E009235402               01309029540066      0000                                 ,S,Simulation application continuation,SEURP EDEWEDGRW06    2S                            05700N        L01309                                                    
S,EUR,P,G,EDEW,RW24,02690,2350,N49350015,E009242242,,01322,0197,40,066,,,SEURP EDEWEDGRW24    1026902350 N49350015E009242242               01322019740066      0000                                 ,S,Simulation application continuation,SEURP EDEWEDGRW24    2S                            23700N        L01322                                                    
S,EUR,P,G,EDFR,RW03,03117,0250,N49230571,E010125594,,01309,0000,40,066,,,SEURP EDFREDGRW03    1031170250 N49230571E010125594               01309000040066      0000                                 ,S,Simulation application continuation,SEURP EDFREDGRW03    2S                            02800N        A01309                                                    
