record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,D,,,,,KLM,LG,11520,TH,,,KLM,N37044080,E022011620,E0040,00026,2,,341,WGE,KALAMATA,SEURD        KLM   LG111520 TH                     KLM N37044080E022011620E0040000262  341WGEKALAMATA                      ,S,Simulation application continuation,SEURD        KLM   LG2S    UN                                             E0048                                            
S,EUR,D,,,,,KLO,LS,11485,VDUW,N47272570,E008324410,,N47272570,E008324410,E0030,01410,2,,242,WGE,KLOTEN (ZURICH),SEURD        KLO   LS111485VDUW N47272570E008324410    N47272570E008324410E0030014102  242WGEKLOTEN (ZURICH)               ,S,Simulation application continuation,SEURD        KLO   LS2S    UN                                             E003501410                                       
S,EUR,D,,,,,KLS,LD,10925,DH,,,KLS,N45275826,E018473216,,00314,2,,442,WGE,KLISA,SEURD        KLS   LD110925 DH                     KLS N45275826E018473216     003142  442WGEKLISA                         ,S,Simulation application continuation,SEURD        KLS   LD2S    UN                                             E0054                                            
S,EUR,D,,,,,KNI,EF,11490,DU,,,KNI,N64165700,E027392100,,00447,2,,447,WGE,KAINUU,SEURD        KNI   EF111490 DU                     KNI N64165700E027392100     004472  447WGEKAINUU                        ,S,Simulation application continuation,SEURD        KNI   EF2S    UN                                             E0131                                            
S,EUR,D,,,,,KNS,EF,11580,DL,,,KNS,N68271400,E027270500,,01374,1,,,WGE,KAUNIS,SEURD        KNS   EF111580 DL                     KNS N68271400E027270500     013741     WGEKAUNIS                        ,S,Simulation application continuation,SEURD        KNS   EF2S    UN                                             E0150                                            
S,EUR,D,,,,,KOK,EB,11450,VTH N,N51054100,E002390600,,N51055670,E002391980,E0010,00001,2,,324,WGE,KOKSY,SEURD        KOK   EB111450VTH NN51054100E002390600    N51055670E002391980E0010000012  324WGEKOKSY                         ,S,Simulation application continuation,SEURD        KOK   EB2S    UN                                             E0019                                            
S,EUR,D,,,,,KOR,EK,11280,VDH,N55262171,E011375351,,N55262171,E011375351,E0040,00136,2,,297,WGE,KORSA,SEURD        KOR   EK111280VDH  N55262171E011375351    N55262171E011375351E0040001362  297WGEKORSA                         ,S,Simulation application continuation,SEURD        KOR   EK2S    UN                                             E0048                                            
S,EUR,D,,,,,KOR,LO,10940,DH,,,KOR,N46471443,E014581572,,07041,2,,245,WGE,KORALPE,SEURD        KOR   LO110940 DH                     KOR N46471443E014581572     070412  245WGEKORALPE                       ,S,Simulation application continuation,SEURD        KOR   LO2S    UU                                             E0048                                            
S,EUR,D,,,,,KOS,LG,10900,VDL,N36472622,E027052863,,N36472622,E027052863,E0050,00416,1,,211,WGE,KOS,SEURD        KOS   LG110900VDL  N36472622E027052863    N36472622E027052863E0050004161  211WGEKOS                           ,S,Simulation application continuation,SEURD        KOS   LG2S    UU                                             E005300416                                       
S,EUR,D,,,,,KOZ,LG,10960,VDHW,N40170648,E021502560,,N40170648,E021502560,E0050,02027,2,,172,WGE,KOZANI,SEURD        KOZ   LG110960VDHW N40170648E021502560    N40170648E021502560E0050020272  172WGEKOZANI                        ,S,Simulation application continuation,SEURD        KOZ   LG2S    UN                                             E0051                                            
S,EUR,D,,,,,KPC,LG,11140,VDH,N35251856,E027084888,,N35251856,E027084888,E0050,00039,2,,,WGE,KARPATHOS,SEURD        KPC   LG111140VDH  N35251856E027084888    N35251856E027084888E0050000392     WGEKARPATHOS                     ,S,Simulation application continuation,SEURD        KPC   LG2S    UN                                             E005100039                                       
S,EUR,D,,,,,KPL,LG,10880,VDH,N40544559,E024365314,,N40544559,E024365314,E0060,00038,2,,214,WGE,KAVALA,SEURD        KPL   LG110880VDH  N40544559E024365314    N40544559E024365314E0060000382  214WGEKAVALA                        ,S,Simulation application continuation,SEURD        KPL   LG2S    UN                                             E005600038                                       
S,EUR,D,,,,,KPT,ED,10840,VDHW,N47444479,E010205940,,N47444479,E010205940,E0020,02507,2,,349,WGE,KEMPTEN,SEURD        KPT   ED110840VDHW N47444479E010205940    N47444479E010205940E0020025072  349WGEKEMPTEN                       ,S,Simulation application continuation,SEURD        KPT   ED2S    UN                                             E003902507                                       
S,EUR,D,,,,,KRA,ES,11520,VDH,N67490930,E020201530,,N67490930,E020201530,E0100,01505,2,,484,WGE,KIRUNA,SEURD        KRA   ES111520VDH  N67490930E020201530    N67490930E020201530E0100015052  484WGEKIRUNA                        ,S,Simulation application continuation,SEURD        KRA   ES2S    UN                                             E011101505                                       
