record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,ZWWW,ZW,,IWQ,ZW,11050,IT N,,,IWQ,N43551638,E087271639,,02106,0,,,WGE,TIANSHAN,SEEUD ZWWWZW IWQ   ZW111050 IT N                   IWQ N43551638E087271639     021060     WGETIANSHAN                      ,S,Simulation application continuation,SEEUD ZWWWZW IWQ   ZW2S    UN                                             E002602106                                       
S,EEU,D,B,,,,BN,ZB,04580,H MW,N43250060,E112070470,,,,W0070,,,,,WGE,SAIWUSU,SEEUDB       BN    ZB104580H MW N43250060E112070470                       W0070           WGESAIWUSU                       ,S,Simulation application continuation,SEEUDB       BN    ZB2S     U24                                                                                            
S,EEU,D,B,,,,RX,UI,04310,H  W,N52311700,E111332500,,,,W0090,,,,,WGE,SOSNOVO-OZERSKOYE,SEEUDB       RX    UI104310H  W N52311700E111332500                       W0090           WGESOSNOVO-OZERSKOYE             ,S,Simulation application continuation,SEEUDB       RX    UI2S     U21                                                                                            
S,EUR,D,,,,,BZH,LF,11065,VDHW,N48263140,W004263910,,N48263140,W004263910,W0010,00313,2,,452,WGE,BREST BRETAGNE,SEURD        BZH   LF111065VDHW N48263140W004263910    N48263140W004263910W0010003132  452WGEBREST BRETAGNE                ,S,Simulation application continuation,SEURD        BZH   LF2S    UN                                             W000200313                                       
S,EUR,D,,,,,GOS,EB,11570,VDH,N50280070,E004285260,,N50280070,E004285260,E0010,00600,2,,276,WGE,GOSLY,SEURD        GOS   EB111570VDH  N50280070E004285260    N50280070E004285260E0010006002  276WGEGOSLY                         ,S,Simulation application continuation,SEURD        GOS   EB2S    UN                                             E0025                                            
S,MES,D,,,,,BTM,LL,11200,DL,,,BTM,N31473474,E035022927,,02193,3,,428,WGE,BET-MEIR,SMESD        BTM   LL111200 DL                     BTM N31473474E035022927     021933  428WGEBET-MEIR                      ,S,Simulation application continuation,SMESD        BTM   LL2S    UN                                             E0049                                            
S,MES,D,,,,,CXB,VG,11680,VDHW,N21273370,E091575340,,N21273370,E091575340,W0010,00052,2,,334,WGE,COX'S BAZAR,SMESD        CXB   VG111680VDHW N21273370E091575340    N21273370E091575340W0010000522  334WGECOX'S BAZAR                   ,S,Simulation application continuation,SMESD        CXB   VG2S    UY                                             W000600052                                       
S,MES,D,,,,,DGA,LT,11080,DU,,,DGA,N37073960,E037371060,,03041,2,,451,WGE,SEHIT KAMIL (GAZIANTEP),SMESD        DGA   LT111080 DU                     DGA N37073960E037371060     030412  451WGESEHIT KAMIL (GAZIANTEP)       ,S,Simulation application continuation,SMESD        DGA   LT2S    UN                                             E0058                                            
S,MES,D,,,,,DGP,LT,11040,DU,,,DGP,N36540020,E037230040,,02854,2,,573,WGE,GAZIANTEP,SMESD        DGP   LT111040 DU                     DGP N36540020E037230040     028542  573WGEGAZIANTEP                     ,S,Simulation application continuation,SMESD        DGP   LT2S    UN                                             E0057                                            
S,MES,D,,,,,DGT,LT,11060,DU,,,DGT,N36502600,E037354380,,02333,2,,401,WGE,OGUZELI (GAZIANTEP),SMESD        DGT   LT111060 DU                     DGT N36502600E037354380     023332  401WGEOGUZELI (GAZIANTEP)           ,S,Simulation application continuation,SMESD        DGT   LT2S    UN                                             E0057                                            
