record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,BHS,ZU,11790,VDHW,N30304200,E104120000,,N30304200,E104120000,W0020,01624,2,,,WGE,BAIHESI,SEEUD        BHS   ZU111790VDHW N30304200E104120000    N30304200E104120000W0020016242     WGEBAIHESI                       ,S,Simulation application continuation,SEEUD        BHS   ZU2S    UN                                             W002501624                                       
S,EEU,D,,,,,BHY,ZG,11710,VDHW,N21351200,E109255400,,N21351200,E109255400,W0020,00115,2,,525,WGE,NANKANG,SEEUD        BHY   ZG111710VDHW N21351200E109255400    N21351200E109255400W0020001152  525WGENANKANG                       ,S,Simulation application continuation,SEEUD        BHY   ZG2S    UN                                             W002300115                                       
S,EEU,D,,,,,BIA,EP,11735,DH,,,BIA,N51173500,E015551900,,00700,2,,339,WGE,LEGNICA,SEEUD        BIA   EP111735 DH                     BIA N51173500E015551900     007002  339WGELEGNICA                       ,S,Simulation application continuation,SEEUD        BIA   EP2S    UN                                             E0055                                            
S,EEU,D,,,,,BJ,UU,11420,DL,,,BJ,N55511500,E032562000,,00787,1,,369,WGE,BELY,SEEUD        BJ    UU111420 DL                     BJ  N55511500E032562000     007871  369WGEBELY                          ,S,Simulation application continuation,SEEUD        BJ    UU2S    UN                                             E0109                                            
S,EEU,D,,,,,BJZ,ZB,10820,VDHW,N40031800,E113293600,,N40031800,E113293600,W0060,03467,2,,,WGE,BEIJIAZAO,SEEUD        BJZ   ZB110820VDHW N40031800E113293600    N40031800E113293600W0060034672     WGEBEIJIAZAO                     ,S,Simulation application continuation,SEEUD        BJZ   ZB2S    UN                                             W006703467                                       
S,EEU,D,,,,,BKS,LH,11580,VDH,N46475990,E021042600,,N46475990,E021042600,E0060,00302,2,,375,WGE,BEKES,SEEUD        BKS   LH111580VDH  N46475990E021042600    N46475990E021042600E0060003022  375WGEBEKES                         ,S,Simulation application continuation,SEEUD        BKS   LH2S    UN                                             E005900302                                       
S,EEU,D,,,,,BKU,UG,11060,DH,,,BKU,N41414100,E043323600,,09000,2,,401,WGE,BAKURIANI,SEEUD        BKU   UG111060 DH                     BKU N41414100E043323600     090002  401WGEBAKURIANI                     ,S,Simulation application continuation,SEEUD        BKU   UG2S    UU                                             E0070                                            
S,EEU,D,,,,,BL,US,10820,DH,,,BL,N53324400,E050350700,,00591,2,,320,WGE,KHOROSHENKOYE,SEEUD        BL    US110820 DH                     BL  N53324400E050350700     005912  320WGEKHOROSHENKOYE                 ,S,Simulation application continuation,SEEUD        BL    US2S    UN                                             E0128                                            
S,EEU,D,,,,,BL,UU,11000,VDHW,N50381280,E036363070,,N50381250,E036363020,E0080,00700,2,,571,WGE,BELGOROD,SEEUD        BL    UU111000VDHW N50381280E036363070    N50381250E036363020E0080007002  571WGEBELGOROD                      ,S,Simulation application continuation,SEEUD        BL    UU2S    UN                                             E009500700                                       
S,EEU,D,,,,,BLG,UH,11360,VDHW,N50233600,E127253520,,N50233600,E127253520,W0130,00800,2,,,WGE,BLAGOVESHCHENSK,SEEUD        BLG   UH111360VDHW N50233600E127253520    N50233600E127253520W0130008002     WGEBLAGOVESHCHENSK               ,S,Simulation application continuation,SEEUD        BLG   UH2S    UN                                             W012800800                                       
S,EEU,D,,,,,BLH,UA,11370,VDH,N46525910,E074590170,,N46525910,E074590170,E0070,01400,2,,,WGE,BALKHASH,SEEUD        BLH   UA111370VDH  N46525910E074590170    N46525910E074590170E0070014002     WGEBALKHASH                      ,S,Simulation application continuation,SEEUD        BLH   UA2S    UU                                             E007001400                                       
S,EEU,D,,,,,BLO,LB,11750,VDH,N42400160,E023485020,,N42400160,E023485020,E0050,03100,2,,285,WGE,BAILOVO,SEEUD        BLO   LB111750VDH  N42400160E023485020    N42400160E023485020E0050031002  285WGEBAILOVO                       ,S,Simulation application continuation,SEEUD        BLO   LB2S    UN                                             E0057                                            
